"","'Page number","'Layout","'Text","'Reading Order","'Confidence score % (Layout)","file"
"1","'1","'Header 1","'This article was downloaded by: [Florida State University] On: 29 December 2014, At: 20:48 Publisher: Routledge Informa Ltd Registered in England and Wales Registered Number: 1072954 Registered office: Mortimer House, 37-41 Mortimer Street, London W1T 3JH, UK","'0","'81.98242188","04597228108459909/layout.csv"
"2","'1","'Figure 1",NA,"'1","'79.68750000","04597228108459909/layout.csv"
"3","'1","'Title 1","'The Military Balance","'2","'33.93554688","04597228108459909/layout.csv"
"4","'1","'Text 1","'Publication details, including instructions for authors and subscription information: http://www.tandfonline.com/loi/tmib20","'3","'50.78125000","04597228108459909/layout.csv"
"5","'1","'Title 2","'Preface","'4","'32.47070313","04597228108459909/layout.csv"
"6","'1","'Text 2","'Published online: 22 Jan 2009.","'5","'46.19140625","04597228108459909/layout.csv"
"7","'1","'Text 3","'To cite this article: (1981) Preface, The Military Balance, 81:1, 5-5, DOI: 10.1080/04597228108459909 To link to this article: http://dx.doi.org/10.1080/04597228108459909","'6","'95.50781250","04597228108459909/layout.csv"
"8","'1","'Section header 1","'PLEASE SCROLL DOWN FOR ARTICLE","'7","'79.49218750","04597228108459909/layout.csv"
"9","'1","'Text 4","'Taylor & Francis makes every effort to ensure the accuracy of all the information (the ""Content"") contained in the publications on our platform. However, Taylor & Francis, our agents, and our licensors make no representations or warranties whatsoever as to the accuracy, completeness, or suitability for any purpose of the Content. Any opinions and views expressed in this publication are the opinions and views of the authors, and are not the views of or endorsed by Taylor & Francis. The accuracy of the Content should not be relied upon and should be independently verified with primary sources of information. Taylor and Francis shall not be liable for any losses, actions, claims, proceedings, demands, costs, expenses, damages, and other liabilities whatsoever or howsoever caused arising directly or indirectly in connection with, in relation to or arising out of the use of the Content.","'8","'97.11914063","04597228108459909/layout.csv"
"10","'1","'Text 5","'This article may be used for research, teaching, and private study purposes. Any substantial or systematic reproduction, redistribution, reselling, loan, sub-licensing, systematic supply, or distribution in any form to anyone is expressly forbidden. Terms & Conditions of access and use can be found at http: // www.tandfonline.com/page/terms-and-conditions","'9","'94.09179688","04597228108459909/layout.csv"
"11","'2","'Title 3","'PREFACE","'10","'83.34960938","04597228108459909/layout.csv"
"12","'2","'Text 6","'The Military Balance is an annual, quantitative assessment of the military power and defence expenditure of countries throughout the world.","'11","'94.82421875","04597228108459909/layout.csv"
"13","'2","'Text 7","'It examines the facts of military power as they existed in July 1981, and no projections of force levels or weapons beyond this date have been included, except where specifically stated. The study should not therefore be regarded as a comprehensive guide to the balance of mili- tary power; in particular, it does not reflect the facts of geography, doctrine or efficiency, except where these are explicitly touched upon.","'12","'96.28906250","04597228108459909/layout.csv"
"14","'2","'Text 8","'The book is organized in three sections. National entries are in general grouped geograph- ically, but with special reference to the principal regional defence pacts and alignments. Information about some smaller countries, whose military forces are of a size which has not seemed to warrant fuller description at this stage, has been set out in a tabular form. Tables give comparative information on nuclear delivery vehicles and static measurements of the strategic nuclear balance, defence expenditure (with historical trends), military manpower (active and reserve) and arms-transfer agreements. New in this year's edition are a description of chemical warfare agents, and a sketch map of the Chinese People's Republic's Military Regions and Districts. Separate essays assess the European theatre balance, both conventional and nuclear, between NATO and the Warsaw Pact. There essays go beyond the purely statis- tical presentation of military forces.","'13","'96.82617188","04597228108459909/layout.csv"
"15","'2","'Text 9","'Notes, which follow this Preface, will help the reader to use the current edition of The Mili- tary Balance. It is important to read them, since they amplify and give precision to the data in the national sections and tables.","'14","'80.85937500","04597228108459909/layout.csv"
"16","'2","'Text 10","'The Director and the staff of the Institute assume full responsibility for the facts and judg- ments which this study contains. The co-operation of governments has been sought and, in many cases, received. Not all countries have been equally co-operative, and some figures have necessarily been estimated. Inevitably, these estimates change as new information becomes available. The Institute owes a considerable debt to a number of its own members and con- sultants, who have helped in compiling and checking material.","'15","'92.87109375","04597228108459909/layout.csv"
"17","'2","'Footer 1","'September 1981","'16","'55.90820313","04597228108459909/layout.csv"
"18","'1","'Header 1","'This article was downloaded by: [University Of Maryland] On: 19 October 2014, At: 09:47 Publisher: Routledge Informa Ltd Registered in England and Wales Registered Number: 1072954 Registered office: Mortimer House, 37-41 Mortimer Street, London W1T 3JH, UK","'0","'88.62304688","04597228108459910/layout.csv"
"19","'1","'Figure 1",NA,"'1","'89.79492188","04597228108459910/layout.csv"
"20","'1","'Title 1","'The Military Balance","'2","'37.20703125","04597228108459910/layout.csv"
"21","'1","'Text 1","'Publication details, including instructions for authors and subscription information: http://www.tandfonline.com/loi/tmib20","'3","'38.40332031","04597228108459910/layout.csv"
"22","'1","'Header 2","'Reader's notes","'4","'36.66992188","04597228108459910/layout.csv"
"23","'1","'Text 2","'Published online: 22 Jan 2009.","'5","'25.83007813","04597228108459910/layout.csv"
"24","'1","'Text 3","'To cite this article: (1981) Reader's notes, The Military Balance, 81:1, 6-7, DOI: 10.1080/04597228108459910 To link to this article: http://dx.doi.org/10.1080/04597228108459910","'6","'93.94531250","04597228108459910/layout.csv"
"25","'1","'Section header 1","'PLEASE SCROLL DOWN FOR ARTICLE","'7","'85.15625000","04597228108459910/layout.csv"
"26","'1","'Text 4","'Taylor & Francis makes every effort to ensure the accuracy of all the information (the ""Content"") contained in the publications on our platform. However, Taylor & Francis, our agents, and our licensors make no representations or warranties whatsoever as to the accuracy, completeness, or suitability for any purpose of the Content. Any opinions and views expressed in this publication are the opinions and views of the authors, and are not the views of or endorsed by Taylor & Francis. The accuracy of the Content should not be relied upon and should be independently verified with primary sources of information. Taylor and Francis shall not be liable for any losses, actions, claims, proceedings, demands, costs, expenses, damages, and other liabilities whatsoever or howsoever caused arising directly or indirectly in connection with, in relation to or arising out of the use of the Content.","'8","'97.07031250","04597228108459910/layout.csv"
"27","'1","'Text 5","'This article may be used for research, teaching, and private study purposes. Any substantial or systematic reproduction, redistribution, reselling, loan, sub-licensing, systematic supply, or distribution in any form to anyone is expressly forbidden. Terms & Conditions of access and use can be found at http:/ // www.tandfonline.com/page/terms-and-conditions","'9","'93.84765625","04597228108459910/layout.csv"
"28","'2","'Page number 1","'vi","'10","'92.04101563","04597228108459910/layout.csv"
"29","'2","'Title 2","'READER'S NOTES","'11","'49.21875000","04597228108459910/layout.csv"
"30","'2","'Section header 2","'Regions and Countries","'12","'95.31250000","04597228108459910/layout.csv"
